timestamp,open,high,low,close,volume
2020-03-10 16:00:00,159.9900,161.1200,159.6100,161.0400,3447809
2020-03-10 15:55:00,159.1400,160.0000,158.6200,159.9900,1832529
2020-03-10 15:50:00,158.2100,159.2700,158.1400,159.1400,874552
2020-03-10 15:45:00,158.6800,158.8600,158.1900,158.1900,742548
2020-03-10 15:40:00,157.6401,158.8098,157.6400,158.6800,629858
2020-03-10 15:35:00,157.7650,158.3400,157.2900,157.6566,727707
2020-03-10 15:30:00,158.7499,158.7499,157.6500,157.7799,690583
2020-03-10 15:25:00,158.7800,159.2100,158.7500,158.7500,645399
2020-03-10 15:20:00,157.8300,158.8300,157.5000,158.8299,664552
2020-03-10 15:15:00,157.2700,157.8700,157.2400,157.8650,496394
2020-03-10 15:10:00,157.5900,157.7200,157.2600,157.2800,534703
2020-03-10 15:05:00,157.2400,157.5900,156.9500,157.5900,585125
2020-03-10 15:00:00,157.5800,157.6200,156.7300,157.2200,480880
2020-03-10 14:55:00,157.9500,157.9900,156.9000,157.5600,404894
2020-03-10 14:50:00,156.9650,158.0700,156.8100,157.9100,675541
2020-03-10 14:45:00,155.9700,157.0000,155.8500,156.9650,518195
2020-03-10 14:40:00,156.1000,156.4800,155.9900,155.9900,414414
2020-03-10 14:35:00,155.5700,156.1687,155.3000,156.0600,513110
2020-03-10 14:30:00,154.0900,155.7800,154.0200,155.5800,451105
2020-03-10 14:25:00,154.9204,155.1100,154.1000,154.1000,343666
2020-03-10 14:20:00,155.1650,155.3900,154.6600,154.8600,312335
2020-03-10 14:15:00,154.7600,155.1400,154.4700,155.1400,474849
2020-03-10 14:10:00,153.8650,154.8100,153.4300,154.8100,481161
2020-03-10 14:05:00,154.5800,154.5900,153.7000,153.8700,375096
2020-03-10 14:00:00,154.4600,154.7000,154.3000,154.6000,345750
2020-03-10 13:55:00,154.8700,155.2900,154.3500,154.4500,316738
2020-03-10 13:50:00,155.5600,155.5700,154.6500,154.8900,332488
2020-03-10 13:45:00,155.8800,156.0200,155.2400,155.5500,365669
2020-03-10 13:40:00,156.0700,156.1500,155.2100,155.8600,430441
2020-03-10 13:35:00,156.2100,156.2700,155.7400,156.0600,542129
2020-03-10 13:30:00,156.5700,156.6400,155.9100,156.1900,395530
2020-03-10 13:25:00,156.1800,157.0600,156.1700,156.5800,394513
2020-03-10 13:20:00,156.0200,156.5500,155.2200,156.1600,473370
2020-03-10 13:15:00,155.8100,156.0200,155.2800,155.9800,420091
2020-03-10 13:10:00,154.9900,155.9400,154.5100,155.8194,444078
2020-03-10 13:05:00,155.7100,155.8000,154.6000,154.9600,472025
2020-03-10 13:00:00,156.4900,156.6000,155.6900,155.6900,293781
2020-03-10 12:55:00,155.6400,156.5000,155.4400,156.5000,302085
2020-03-10 12:50:00,156.0800,156.2150,155.6000,155.6000,364581
2020-03-10 12:45:00,155.4200,156.1900,154.7700,156.1024,356385
2020-03-10 12:40:00,155.1600,155.6000,154.9400,155.3500,348534
2020-03-10 12:35:00,155.6500,155.7800,154.8200,155.1600,400604
2020-03-10 12:30:00,156.5827,156.6800,155.6300,155.6650,428365
2020-03-10 12:25:00,156.6800,156.8700,156.1100,156.5820,315771
2020-03-10 12:20:00,156.5100,156.8050,156.1700,156.6300,462846
2020-03-10 12:15:00,155.6900,156.5400,155.6900,156.5400,639239
2020-03-10 12:10:00,154.8300,155.4600,154.5200,155.3300,419919
2020-03-10 12:05:00,154.0200,155.7900,153.9900,154.7900,491550
2020-03-10 12:00:00,153.6800,154.3800,153.3000,153.9500,486933
2020-03-10 11:55:00,154.6501,154.9500,153.3800,153.6400,465465
2020-03-10 11:50:00,154.7943,155.6000,154.4700,154.7000,659568
2020-03-10 11:45:00,153.7000,154.7900,153.0200,154.7900,569793
2020-03-10 11:40:00,153.1000,153.5900,152.7950,153.5900,634808
2020-03-10 11:35:00,153.2000,153.7200,152.8900,153.1292,654665
2020-03-10 11:30:00,153.5350,154.2580,153.0320,153.1200,734830
2020-03-10 11:25:00,154.2445,154.3200,153.5200,153.5200,474417
2020-03-10 11:20:00,154.8000,155.0900,154.0900,154.2750,525436
2020-03-10 11:15:00,156.0300,156.0600,154.7700,154.8200,474308
2020-03-10 11:10:00,154.8700,156.1900,154.7500,156.0500,510765
2020-03-10 11:05:00,154.7800,155.0500,154.4000,154.8700,611084
2020-03-10 11:00:00,155.2178,156.0700,154.7700,154.7900,684760
2020-03-10 10:55:00,155.6600,155.8500,155.0888,155.2150,529449
2020-03-10 10:50:00,156.9800,157.0450,155.6480,155.6482,672892
2020-03-10 10:45:00,157.9100,158.0500,156.6900,156.9900,537547
2020-03-10 10:40:00,158.0700,158.1200,157.8400,157.8600,500113
2020-03-10 10:35:00,157.9000,158.1300,157.7400,158.0700,609535
2020-03-10 10:30:00,158.0938,158.1300,157.8000,157.8700,477661
2020-03-10 10:25:00,158.4800,158.9800,158.0500,158.1077,521900
2020-03-10 10:20:00,158.8600,159.0000,158.2900,158.4500,485682
2020-03-10 10:15:00,158.1701,159.0100,158.0600,158.8700,581173
2020-03-10 10:10:00,157.7400,158.1800,157.2400,158.1800,723740
2020-03-10 10:05:00,156.8400,157.9000,156.5100,157.7600,614199
2020-03-10 10:00:00,156.4600,157.1200,156.4600,156.8600,559178
2020-03-10 09:55:00,156.3105,156.6800,156.0700,156.5500,829189
2020-03-10 09:50:00,156.1000,156.3200,155.9440,156.3000,628588
2020-03-10 09:45:00,155.9600,156.3050,155.5550,156.2100,709058
2020-03-10 09:40:00,157.1450,157.1450,155.6542,155.9800,951961
2020-03-10 09:35:00,158.1600,158.3000,155.9100,157.0800,3072754
2020-03-09 16:00:00,153.3000,153.7200,150.5900,150.6300,3699270
2020-03-09 15:55:00,153.9500,154.0700,152.3000,153.2900,1758719
2020-03-09 15:50:00,154.3200,154.4030,153.6800,154.0300,1077620
2020-03-09 15:45:00,154.5700,154.7500,154.2700,154.2700,886705
2020-03-09 15:40:00,153.4100,154.9400,153.3800,154.5517,818757
2020-03-09 15:35:00,153.7300,153.7600,152.9700,153.3900,751451
2020-03-09 15:30:00,153.9300,154.9000,153.5100,153.7309,805028
2020-03-09 15:25:00,152.9021,153.9300,152.7800,153.9300,581485
2020-03-09 15:20:00,152.3750,153.7100,152.2600,152.8900,567050
2020-03-09 15:15:00,153.4800,153.4800,152.2500,152.3900,537330
2020-03-09 15:10:00,154.0800,154.1400,153.0000,153.4400,512490
2020-03-09 15:05:00,153.0800,154.3600,152.6100,154.0500,587044
2020-03-09 15:00:00,153.5200,153.9800,153.0500,153.0548,574802
2020-03-09 14:55:00,152.0150,153.8000,152.0100,153.5400,571808
2020-03-09 14:50:00,151.6000,152.6000,151.5400,152.0000,488434
2020-03-09 14:45:00,152.7400,152.9100,151.3200,151.5498,571715
2020-03-09 14:40:00,152.1100,153.0900,151.4700,152.7850,574992
2020-03-09 14:35:00,152.0600,152.2150,151.7800,152.1350,435092
2020-03-09 14:30:00,152.8500,152.8800,152.0100,152.0800,342929
2020-03-09 14:25:00,153.3900,153.8562,152.7500,152.8100,394769
2020-03-09 14:20:00,152.9100,153.8900,152.9100,153.3600,474337
2020-03-09 14:15:00,151.8000,152.9600,151.6700,152.8690,448267
